,Smiles,Standard Value
3286,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2c1=O,194.98
829,CC1=C(C(=O)OC(C)C)C(c2ccoc2)NC(=S)N1,194.2
2472,CC1=C(C(=O)OC(C)C)C(c2ccoc2)NC(=S)N1,194
1316,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCN3CCCC3)cc2)n(CCC)c1=O,193
770,Nc1nc(-c2ccco2)c2nnn(Cc3ccco3)c2n1,192
1292,CCCn1c(=O)c2[nH]c(-c3cnn(CC4CCN(c5ccc(OC(F)(F)F)cc5)C4=O)c3)nc2n(CCC)c1=O,191
2118,CCCn1c(=O)c2[nH]c(-c3ccccc3)nc2n(CCSCC)c1=O,190.55
3231,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)O)cc3)[nH]c2c1=O,190.55
206,COc1cccc(COC(=O)c2nn(-c3ccccc3)nc2N)c1,190
982,CCCn1c(=O)c2[nH]c(-c3cnn(CC#Cc4cccc(C(=O)O)c4)c3)nc2n(CC)c1=O,190
1132,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3O)[nH]c2n(CCC)c1=O,188
3244,N#Cc1c(-c2ccccc2)nc(Nc2ccccc2)nc1-c1ccc2c(c1)OCO2,188
1895,Cn1c(=O)c2[nH]c([C@]34C[C@@H]5C[C@H](C[C@H]3C5)C4)nc2n(C)c1=O,187
1948,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3cccnc3)c(CCc3ccccc3)c2c1)c1ccccc1,187
2999,CCCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCCC)c1=O,187
3205,CCCCn1c(=O)c2[nH]c(C34CC5CC(CC3C5)C4)nc2n(CCCO)c1=O,187
862,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(CCN)cc4)cc3)cc2n(C)c1=O,186.21
1615,COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)NCc1ccc(Cl)cc1,186.21
3292,N#Cc1c(-c2ccccc2)nc(N)nc1-c1cccc(F)c1,186
3293,COc1ccc(-c2nc(Nc3ccccc3)nc(-c3ccccc3)c2C#N)cc1,186
2237,CCCn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(F)cc4)n(C)n3)[nH]c2n(CCC)c1=O,185
1299,Nc1nc(C(=O)NCc2cccc(Cl)c2)cc(-c2ccco2)n1,184
679,Cn1c(=O)c2[nH]c(-c3ccccc3)cc2n(C)c1=O,182
793,Cn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,181
1361,CNc1ccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)cc1,181
1170,Cn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,180
2004,CSc1c2c(nc(NC(=O)Cc3ccc(CC(C)C)cc3)n3nc(-c4ccco4)nc23)nn1C,180
3050,Nc1nc(-c2ccccc2)c2c(n1)-c1ccc(OCCCN3CCCC3)cc1C2=O,180
1317,CCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCN(CC)CC)cc2)n(CCC)c1=O,179
2572,N#Cc1c(-c2ccccc2)nc(N)nc1-c1cccc(Cl)c1,177
64,CCCn1cc2c(nc(NC(=O)Nc3cccc(OC)c3)n3nc(-c4ccco4)nc23)n1,175
2072,Cn1nc(-c2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)cc1N,175
3264,CC1=C(C(=O)OC(C)C)C(c2ccns2)n2c(nc3ccccc32)N1,175
226,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCc4ccc(F)cc4)cc3)c(Cl)c2n(CCC)c1=O,173.78
575,CCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(N(C)C)cc4)cc3)nc2n(CCCOC)c1=O,173.78
650,CN1CCN(C(=O)COc2ccc(-c3cc4c([nH]3)c(=O)n(C)c(=O)n4C)cc2)CC1,173.78
1979,CS(=O)(=O)c1c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)ccc2[nH]c1=O,172
1793,N#Cc1c(-c2ccccc2)cc(-c2ccco2)nc1N,170
2332,CCCn1c(=O)[nH]c2nc(-c3cnn(Cc4cc(-c5ccc(Cl)cc5)on4)c3)[nH]c2c1=O,170
446,COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)N1CCc2ccccc2C1,169.82
2185,Cn1c(=O)c2[nH]c(-c3cccc(OCC(=O)Nc4ccccc4)c3)cc2n(C)c1=O,165.96
371,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,165
2016,Cn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,165
2254,CCCn1cc2c(nc(NC(=O)Nc3ccccc3OC)n3nc(-c4ccco4)nc23)n1,165
1144,CCC(=O)Nc1cc(-c2ccsc2)nc(-c2ccsc2)n1,164.7
2481,Nc1nc(-c2ccco2)c2nnn(Cc3ccsc3)c2n1,164
1461,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(-c5cccc(Cl)c5)on4)c3)[nH]c2n(CCC)c1=O,163
492,CCn1c(=O)c2[nH]c(Cc3ccccc3)nc2n(Cc2ccco2)c1=O,162.18
125,CCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,161
1587,CCCCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,161
1821,CCCn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,161
1491,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4cccc(Cl)c4)nn3C)[nH]c2n(CCC)c1=O,160
2405,Nc1nc(-c2ccco2)c2nnn(Cc3cccc(Cl)c3)c2n1,160
583,Cc1cc(-c2nnc(N)nc2-c2ccc(F)cc2)cc(C)n1,158.49
1577,Oc1cccc(-c2nc(N3CCCCC3)c3nc[nH]c3n2)c1,158.49
1913,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)c(Cl)c2n(CCC)c1=O,158.49
3251,CCCn1c(=O)c2[nH]c(-c3cccc(S(=O)(=O)F)c3)nc2n(CCC)c1=O,158.49
2920,CC1=C(C(=O)OCC(F)(F)F)C(c2ccco2)NC(=O)N1,157
1697,COc1ccccc1CNC(=O)c1cc(-c2ccco2)nc(N)n1,156
2257,CCCn1c(=O)c2c(cc(-c3ccc(N)cc3)n2O)n(CCC)c1=O,155
417,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)NCC(=O)O)cc3)[nH]c2n(C)c1=O,154
1773,Cn1c(=O)c2nc(-c3ccc(S(=O)(=O)NCC(=O)O)cc3)[nH]c2n(C)c1=O,154
59,CCCCCc1nc(N)c2nc(-n3nccn3)n(C)c2n1,153
1368,CCCCn1cc2c(nc(NC(=O)Nc3cccc(OC)c3)n3nc(-c4ccco4)nc23)n1,150
1783,CCCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,150
1926,CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,150
2610,CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,150
645,COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)Nc1ccccc1,147.91
2021,CCCn1c(=O)c2[nH]c(-c3ccc[nH]3)nc2n(CCCOC)c1=O,147.91
34,COC[C@H]1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,145
916,c1coc(-c2nc3c(OCc4ccoc4)nc4ccccc4n3n2)c1,144.54
2718,COc1cc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)ccc1OCC(=O)Nc1ccc(F)cc1,144.54
641,CCCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,143
2095,Cn1cc2c(nc(NC(=O)Nc3ccc4c(c3)OCO4)n3nc(-c4ccco4)nc23)n1,142
796,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccccc4F)cc3)c(Cl)c2n(CCC)c1=O,141.25
3250,CCCn1c(=O)[nH]c2nc(-c3cccc(OS(=O)(=O)F)c3)[nH]c2c1=O,141.25
414,CCn1c(=O)n(CC(C)C)c(=O)c2[nH]c(-c3cn[nH]c3)nc21,141
2664,C=CCn1c(=O)c2nc(-c3ccc(OCC(=O)O)cc3)[nH]c2n(CC=C)c1=O,141
3114,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccco3)c2n1,141
3291,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCN)cc3)nc2n(CCC)c1=O,141
137,CCNC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,140
1010,CCCn1c(=O)c2[nH]c(-c3cnn(CC#CCN4CCCCC4)c3)nc2n(CCC)c1=O,140
2143,Cc1cc2c(nc(-n3nccn3)n2C)c(N)n1,140
1952,CCn1c(=O)c2[nH]c(-c3ccco3)nc2n(CCCOC)c1=O,138.04
2214,CCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2cccs2)c1=O,138.04
1490,CCCn1c(=O)c2nc(-c3cc(O)ccc3O)[nH]c2n(CCC)c1=O,138
2894,CC1=C(C(=O)OCC2CC2)C(c2ccco2)NC(=O)N1,138
1298,Nc1nc(C(=O)NCc2ccccc2Cl)cc(-c2ccco2)n1,137
122,CCCn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,136
954,CCCCn1cc2c(nc(NC(=O)Nc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,136
1727,CCCn1c(=O)c2nc(-c3cnn(Cc4noc(-c5cccc(OC)c5)n4)c3)[nH]c2n(CCC)c1=O,136
1525,CCn1c(=O)c2c(nc(Cc3c(F)cccc3F)n2C)n(Cc2cccs2)c1=O,134.9
148,CCCn1c(=O)c2nc(-c3cnn(Cc4noc(-c5cccc(Cl)c5)n4)c3)[nH]c2n(CCC)c1=O,134
1055,Nc1nc(-c2ccco2)c2nnn(Cc3ccc4[nH]nnc4c3)c2n1,134
2658,O=C(Nc1ccc(-c2ccncc2)c(-c2cocn2)n1)C1CC1,134
890,CCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,132
900,CC(C)Cn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(Br)cc4)nn3C)[nH]c2n(CC(C)C)c1=O,132
2404,NC(=O)c1cccc(Cn2nnc3c(-c4ccco4)nc(N)nc32)c1,132
270,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(CC(=O)OCC)cc4)cc3)cc2n(C)c1=O,131.83
3285,CCCn1c(=O)[nH]c2nc(-c3cccc(S(=O)(=O)F)c3)[nH]c2c1=O,131.83
2285,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(-c5cccc(OC)c5)on4)c3)[nH]c2n(CCC)c1=O,131
2464,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(CCCC)c1=O,131
453,CCCn1c(=O)c2[nH]c(-c3cnn(CC#Cc4ccc(C(=O)O)cc4)c3)nc2n(CC)c1=O,130
1665,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(C(F)(F)F)cc4)nn3C)[nH]c2n(CCC)c1=O,130
2018,CCCCn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,130
2249,COc1ccc(NC(C)=O)c2sc(NC(=O)c3ccc(F)cc3)nc12,130
2303,COc1ccc(NC(C)=O)c2sc(NC(=O)c3ccc(F)cc3)nc12,130
720,CCCn1c(=O)c2nc(-c3cnn(Cc4nc(-c5cccc(C)c5)no4)c3)[nH]c2n(CCC)c1=O,128
791,Cn1cc2c(nc(NC(=O)Nc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,128
2915,Nc1nc(-c2ccco2)c2nnn(Cc3cc(F)ccc3F)c2n1,128
867,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5OC)n4)cc3)[nH]c2n(CCC)c1=O,127
1688,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5OC)n4)cc3)[nH]c2n(CCC)c1=O,127
2632,CCCn1c(=O)c2nc([C@]34CC[C@](CCCC(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O,127
2559,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCCN(CC)CC)cc2)n(CCCC)c1=O,126
27,CCn1c(=O)c2[nH]c(Cc3ccco3)nc2n(Cc2ccco2)c1=O,125.89
576,CCn1c(=O)c2[nH]c(-c3cccs3)nc2n(CCCOC)c1=O,125.89
589,CCCCn1cc2c(nc(NC(=O)Nc3ccccc3OC)n3nc(-c4ccco4)nc23)n1,125
2422,CCCn1c(=O)c2nc(-c3cccc(O)c3O)[nH]c2n(CCC)c1=O,125
247,OCCNc1nc2ccccc2n2nc(-c3ccco3)nc12,123.03
506,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)cc2n(C)c1=O,123.03
2184,COc1cc(OCC(=O)NCc2ccc(Cl)cc2)ccc1-c1cc2c([nH]1)c(=O)n(C)c(=O)n2C,123.03
1004,Nc1nc(-c2ccco2)c2nnn(Cc3ccccc3N)c2n1,123
1728,CCCn1c(=O)c2nc(-c3cnn(Cc4noc(-c5ccc(OC)cc5)n4)c3)[nH]c2n(CCC)c1=O,123
775,Nc1nc(-c2ccco2)c2nnn(Cc3ccccc3)c2n1,122
899,CCCn1c(=O)c2nc(-c3cc(OCC(=O)N4CCN(C)CC4)nn3C)[nH]c2n(CCC)c1=O,122
2367,CCCCNS(=O)(=O)c1ccc(-c2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)cc1,122
230,CCCCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,121
544,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(-c5ccccc5C(F)(F)F)on4)c3)[nH]c2n(CCC)c1=O,121
595,COc1cccc(CNC(=O)c2cc(-c3ccco3)nc(N)n2)c1,121
2132,CCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,120.23
2754,CCn1c(=O)c2[nH]c(-c3cn[nH]c3)nc2n(C)c1=O,120
3197,CCCn1c(=O)c2[nH]c(-c3cnn(CC#CCN4CCCC4)c3)nc2n(CCC)c1=O,120
1157,O=C(C/C=C/c1ccccc1)Nc1nc2ccccc2c(=O)s1,119
1651,O=c1ccc(Nc2ncc(-c3ccncn3)c(-c3ccco3)n2)cn1CC1CC1,119
1940,CCc1cc(Cn2nnc3c(-c4ccco4)nc(N)nc32)ccc1N,118
161,CCOC(=O)C1=C(C(F)(F)F)Nc2nc3ccccc3n2C1c1ccsc1,117.8
951,CCCn1c(=O)c2[nH]c(Cc3ccccc3)nc2n(Cc2ccco2)c1=O,117.49
707,c1coc(-c2nc(Nc3cnccn3)ncc2-c2ccncn2)c1,116
912,Cn1cc2c(nc(NC(=O)Nc3ccc(Cl)c(Cl)c3)n3nc(-c4ccco4)nc23)n1,116
706,COc1ccc(Nc2ncc(-c3ccncn3)c(-c3ccco3)n2)cn1,115
2070,CCCn1c(=O)c2c(cc(-c3ccc(O)cc3)n2O)n(CCC)c1=O,115
1771,CCCn1c(=O)[nH]c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccccc5)CC4)cc3)cc21,114.82
3201,Nc1nc(-c2ccccc2)c2c(n1)-c1ccc(OCCCN3CCCCC3)cc1C2=O,114
1318,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCC(=O)NCCN(CC)CC)cc2)n(CCCC)c1=O,113
1499,COc1ccc2c(C)nc(NC3=NCC(=O)N3)nc2c1,112
2124,Nc1nc(-c2ccco2)c2ncn(C(=O)NCc3ccccc3)c2n1,112
43,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(OCc5ccc([N+](=O)[O-])cc5)cc4)nn3C)[nH]c2n(CCC)c1=O,111
722,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(-c5ccccc5Cl)on4)c3)[nH]c2n(CCC)c1=O,111
946,CCCn1c(=O)c2nc(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)[nH]c2n(CCC)c1=O,110
3284,CCCn1c(=O)[nH]c2nc(-c3cccc(N=C=S)c3)[nH]c2c1=O,109.65
314,Nc1nc(-c2ccco2)c2nnn(Cc3ccccc3F)c2n1,109
1123,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(OCCN(CC)CC)cc2)n(CCCC)c1=O,109
409,CCOC(=O)C1=C(C)Nc2nccn2C1c1ccco1,108
1070,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)nc3)[nH]c2n(CCC)c1=O,108
1824,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(I)cc4)nc3)[nH]c2n(CCC)c1=O,108
2496,N#Cc1c(-c2ccccc2)nc(Nc2ccccc2)nc1-c1ccccc1F,107
2013,CCCn1c(=O)c2nc(-c3cnn(Cc4nc(-c5ccc(OC)cc5)no4)c3)[nH]c2n(CCC)c1=O,106
1931,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccc(F)cc3)c2c1)c1ccccc1,105
1075,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(O)cc4)nn3C)[nH]c2n(CCC)c1=O,103
2593,CC(C)NS(=O)(=O)c1ccc(-c2nc3c(=O)n(C)c(=O)n(C)c3[nH]2)cc1,102
2697,CCOC(=O)C1=C(C)N/C(=N\C#N)NC1c1ccoc1,102
1791,Cn1cc2c(nc(NC(=O)Nc3ccccc3Cl)n3nc(-c4ccco4)nc23)n1,101
2330,CCCCn1cc2c(nc(NC(=O)Cc3ccccc3)n3nc(-c4ccco4)nc23)n1,101
2432,CCCn1c(=O)[nH]c2[nH]c(-c3ccc(S(=O)(=O)NCC(=O)O)cc3)nc2c1=O,101
10,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5cnccn5)CC4)cc3)cc2n(CCC)c1=O,100
556,CCCn1c(=O)c2nc([C@]34CC[C@](/C=C/C(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O,100
990,CCCn1c(=O)c2[nH]c(-c3cnn(CC#CC4(O)CCCCC4)c3)nc2n(CCC)c1=O,100
1468,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(OC)cc4)nn3C)[nH]c2n(CCC)c1=O,100
1917,CCCn1c(=O)c2nc(-c3cnn(Cc4noc(-c5ccccc5C(F)(F)F)n4)c3)[nH]c2n(CCC)c1=O,100
2186,CCCn1c(=O)c2nc(-c3cnn(CCCc4ccccc4)c3)[nH]c2n(CCC)c1=O,100
2223,CCCn1c(=O)[nH]c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)cc21,100
2402,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)c4c(NC(=O)O)n(C)c(=O)n(C)c4=O)cc3)cc2n(CCC)c1=O,100
3263,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccns1,98.7
1936,CCCn1c(=O)c2c(cc(-c3ccc(OCC(=O)N4CCc5ccccc5C4)cc3)n2C)n(CCC)c1=O,97.72
1169,CCn1cc2c(nc(NC(=O)Nc3ccccc3Cl)n3nc(-c4ccco4)nc23)n1,97
1537,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(Cc5ccc(C(=O)O)cc5)CC4)cc3)[nH]c2c1=O,96.7
3265,Nc1nc(C(=O)NCc2ccccn2)cn2c1nc1ccccc12,96.7
1096,COc1cccc(-c2cc(NC(C)=O)nc(-c3cccc(OC)c3)c2)c1,96.2
1146,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4cccc(OC)c4)nn3C)[nH]c2n(CCC)c1=O,96
2863,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCOCCOCCOCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,95.5
2882,CC1=C(C(=O)OC2CCC2)C(c2ccco2)NC(=O)N1,95.1
107,CCCn1c(=O)c2nc(-c3ccc(NC(=O)Cc4ccc(OC)c(OC)c4)cc3)[nH]c2n(CCC)c1=O,95
403,CSCCn1c(=O)c2[nH]c(Cc3cccs3)nc2n(Cc2ccco2)c1=O,93.33
635,CCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4nc5ccccc5[nH]4)cc3)nc2n(CCCOC)c1=O,93.33
390,CCCn1c(=O)c2[nH]c(-c3cc(OCC(=O)Nc4ccc(Br)cc4)n(C)n3)nc2n(CCC)c1=O,93
2220,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cn[nH]c1,92.6
1451,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc([N+](C)(C)C)cc4)cc3)cc2n(CCC)c1=O,91.2
1687,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(C)cc5)n4)cc3)[nH]c2n(CCC)c1=O,91
419,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(OCc5cccc(C(F)(F)F)c5)cc4)nn3C)[nH]c2n(CCC)c1=O,90
628,CCCn1c(=O)c2nc(-c3cc(NC(=O)Nc4cccc(OC)c4)nn3C)[nH]c2n(CCC)c1=O,90
1591,Cn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,90
2208,CCCn1c(=O)c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc2n(CCC)c1=O,90
2369,CCCn1c(=O)c2nc([C@]34CC[C@](CCC(=O)O)(CC3)CC4)[nH]c2n(CCC)c1=O,90
2587,O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,90
2602,CCCn1c(=O)c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc2n(CCC)c1=O,90
2843,CCCn1c(=O)c2[nH]c(-c3cc(OCC4CC(=O)N(c5cccc(F)c5)C4)no3)nc2n(CCC)c1=O,90
2862,Cn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,90
1643,C#CCn1c(=O)c2[nH]c(Cc3c(F)cccc3F)nc2n(Cc2ccco2)c1=O,89.13
2655,CCSCCn1c(=O)c2c(nc(Cc3cccs3)n2C)n(Cc2ccco2)c1=O,89.13
1455,CCCn1c(=O)c2[nH]c(-c3ccc(C)cc3)c(O)c2n(CCC)c1=O,89
359,CCCn1c(=O)c2[nH]c(-c3cc(OCc4nc5cc(C(=O)O)ccc5[nH]4)nn3C)nc2n(CCC)c1=O,88
758,CCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,88
1056,Nc1nc(-c2ccco2)c2nnn(Cc3cccs3)c2n1,88
2040,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(F)cc4)nn3C)[nH]c2n(CCC)c1=O,88
582,CCCCn1cc2c(nc(NC(=O)Nc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,87
739,CCCn1c(=O)c2[nH]c(-c3cc(OCC(=O)Nc4ccc5c(c4)OCO5)nn3C)cc2n(CCC)c1=O,87
67,CCCn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(C(C)=O)cc4)nn3C)[nH]c2n(CCC)c1=O,86
1149,CCCn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(N5CCOCC5)cc4)nn3C)[nH]c2n(CCC)c1=O,86
1044,CC1=C(C(=O)OC(C)C)C(c2ccco2)n2ccnc2N1,85.6
2094,CCn1c(=O)c2[nH]c(-c3ccc[nH]3)nc2n(CCCOC)c1=O,85.11
1789,CCn1cc2c(nc(NC(=O)Nc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,85
1826,CCCn1c(=O)c2nc(-c3cc(OCC(=O)N4CCN(Cc5ccccc5)CC4)nn3C)[nH]c2n(CCC)c1=O,85
2089,O=C(Nc1cnc(-c2ccncc2Cl)c(-c2cccnc2)n1)C1CC1,85
2473,CCC(C)OC(=O)C1=C(C)NC(=O)NC1c1ccco1,84.3
1362,Nc1nc(-c2ccco2)c2nnn(Cc3ccc(N)c(O)c3)c2n1,84
1452,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccccc4Cl)cc3)c(Cl)c2n(CCC)c1=O,83.18
1807,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCc4ccccc4)cc3)c(Cl)c2n(CCC)c1=O,83.18
572,CCCn1c(=O)c2[nH]c(-c3cnn(CC#CCN4CCN(C)CC4)c3)nc2n(CCC)c1=O,83
724,CCCn1c(=O)c2nc(-c3cnn(Cc4noc(-c5ccccc5OC)n4)c3)[nH]c2n(CCC)c1=O,83
61,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(-c5ccc(Cl)cc5)on4)c3)[nH]c2n(CCC)c1=O,82
150,CCCn1c(=O)c2nc(-c3cnn(Cc4nc(-c5cccc(OC)c5)no4)c3)[nH]c2n(CCC)c1=O,82
151,CCCn1c(=O)c2nc(-c3cnn(Cc4nc(-c5ccccc5OC)no4)c3)[nH]c2n(CCC)c1=O,82
1879,Cn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4ccccn4)cc3)cc2n(C)c1=O,81.3
1469,CCCn1c(=O)c2nc(-c3cc(NC(=O)Nc4ccc(OC)cc4)nn3C)[nH]c2n(CCC)c1=O,81
1760,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(COc3ccccc3)c2c1)c1ccccc1,81
1993,COc1ccc(NC(=O)Nc2nc3nn(CCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1,81
2264,CCNc1c2c(nc(N)n3nc(-c4ccco4)nc23)nn1C,81
2627,CC(C)=CCn1cc2c(nc(NC(=O)Nc3cccc(Cl)c3)n3nc(-c4ccco4)nc23)n1,81
1012,CCCn1c(=O)c2nc(-c3cnccn3)[nH]c2n(CCC)c1=O,79.6
859,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)O)cc3)c(Br)c2n(CCC)c1=O,79.43
906,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NC4CCCC4)cc3)cc2n(C)c1=O,79.43
1921,CCCn1c(=O)[nH]c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCc5ccccc5C4)cc3)cc21,79.43
2177,Oc1ccc(-c2nc(N3CCCCC3)c3nc[nH]c3n2)cc1,79.43
3271,CCCCn1c(=O)c2nc(C34CCC(C(=O)NCCCN=[N+]=[N-])(CC3)CC4)[nH]c2n(CCCNC(=O)c2ccc(S(=O)(=O)F)cc2)c1=O,79.4
1365,Nc1nc(-c2ccco2)c2nnn(Cc3cccc(F)c3F)c2n1,79
1991,CCCn1c(=O)c2[nH]c(-c3cnn(CC#CC4(O)CCCC4)c3)nc2n(CCC)c1=O,79
733,CCCCn1cc2c(nc(NC(=O)Nc3ccccc3Cl)n3nc(-c4ccco4)nc23)n1,78
