,Smiles,Standard Value
250,COc1ccc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(F)c(F)c3)nc12,5000
834,COCCOc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5nccs5)nc43)CC2)cc1F,5000
3079,COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,5000
2875,OC[C@H]1O[C@@H](n2cnc3c(NC4CC5CCC4C5)ncnc32)[C@H](O)[C@@H]1O,4930
387,CC(C)n1c(=O)n(C)c(=O)c2[nH]cnc21,4890
284,CNC(=O)c1cnc(NC(=O)Cc2ccccc2)n2nc(-c3ccco3)nc12,4840
1832,O[C@@H]1[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,4830
1105,CCOC(=O)c1cnc(NCc2ccc(OC)cc2)n2nc(-c3ccco3)nc12,4810
2678,CC[C@@H](C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,4810
1125,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(F)ccc4Cl)c3)[nH]c2n(CCC)c1=O,4800
1152,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,4730
2463,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,4730
3122,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,4730
1350,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,4700
1898,Cc1nn(Cc2ccccc2)c(=O)c2ncn3nc(-c4ccsc4)cc3c12,4650
1975,CCOC(=O)c1cnc(NC2CCCC2)n2nc(-c3ccco3)nc12,4620
215,CCCn1c(-c2ccco2)nc2c(N)nc(NCc3ccccc3)nc21,4610
32,C=CCn1c(Br)nc2c(N)ncnc21,4600
3074,CC1=C(C(=O)OCc2ccccc2)C(c2ccsc2)NC(=O)N1C,4521
766,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(C#N)cc5)no4)cc3)[nH]c2n(CCC)c1=O,4520
915,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N[C@@H]3CCOC3)nc(Cl)nc21,4470
557,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N[C@@H]3CCOC3)ncnc21,4440
2508,CC1=C(C(=O)OC(C)(C)C)C(c2ccoc2)NC(=O)N1,4436
1576,Nc1nc2nn(CCc3cccc4ccccc34)cc2c2nc(-c3ccco3)nn12,4294
828,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccoc1,4259
3073,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccoc1,4259
1231,CC(C)Cn1c(Br)nc2c(N)ncnc21,4200
2443,CC(C)Cn1c(Br)nc2c(N)ncnc21,4200
1480,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,4130
2471,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,4130
2822,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,4130
755,Nc1ncnc2c1nc(Br)n2C1CCC1,4100
204,OC1CCC(Nc2nc(-c3ccccc3)nc3[nH]ccc23)CC1,3981
130,CCCCCNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,3980
3222,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,3975
2198,C#CCn1c(=O)c2c(nc3n2CCCN3C2CCC2)n(C)c1=O,3970
1134,Cc1ccc(CNc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,3940
127,COc1ccc(CCNc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1OC,3880
716,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4ccccc4OC)nc32)[C@H](O)[C@@H]1O,3862
295,CCC(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,3860
608,C#CCn1c(=O)c2c(nc3n2CCCN3c2cccc(Br)c2)n(C)c1=O,3860
2888,Cn1c(-c2ccccc2)nc2c(NC3CCC3)ncnc21,3730
259,CNc1ncc(C(=O)OC(C)c2ccccc2)c2nc(-c3ccco3)nn12,3720
853,CCCn1c(=O)c2nc(-c3cc(C)nn3C)[nH]c2n(CCC)c1=O,3700
2871,CC[C@@H]1CN2C(=O)N(C)c3nc(-c4ccccc4)[nH]c3C2=N1,3700
164,CC(=O)c1nc(NC(=O)C2CC2)ccc1-c1ccncc1,3668
792,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc3)[nH]c2n(CCC)c1=O,3660
1699,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc([N+](=O)[O-])cc5)nc43)[C@H](O)[C@@H]2O)n1,3660
1804,Cn1c(=O)c(-c2ccc(F)cc2F)c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccccc3)ccc21,3655
343,OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,3570
2470,C#CCn1c(=O)c2c(nc3n2CCCN3Cc2ccccc2)n(C)c1=O,3520
2242,COc1ccc2[nH]c(=O)c(S(C)(=O)=O)c(CCc3ccccc3)c2c1,3474
2196,CCCn1c(-c2ccccc2)nc2c(NC3CCCC3)ncnc21,3430
1440,CCOC(=O)c1c(-c2ccco2)nc(=O)[nH]c1C,3428
1767,CC(C)(C)NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCc3ccccc3)c2c1,3413
1995,C=CCn1c(=O)c2c(ncn2C)n(CC=C)c1=O,3390
281,Cn1cc2c(nc(NCc3ccccc3)n3nc(-c4ccco4)nc23)n1,3330
2086,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCCCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,3330
2761,CCC(=O)Nc1nc(-c2ccsc2)cc(-c2ccsc2)n1,3250
2510,CCOC(=O)C1=C(C)N=C(S)NC1c1cccs1,3247
1833,O[C@@H]1[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)ncnc21,3210
1551,COc1cc(-c2nc(NC(C)=O)sc2-c2ccncc2)cc(OC)c1OC,3200
1485,CCCn1c(Br)nc2c(NCCc3ccccc3)ncnc21,3190
1674,Cc1cccc(CNC(=O)c2cc(-c3ccc(C)o3)nc(N)n2)n1,3185
2363,Cc1cccc(CNC(=O)c2cc(-c3ccc(C)o3)nc(N)n2)n1,3185
1164,Cn1cc2c(nc(NCc3ccc(F)cc3)n3nc(-c4ccco4)nc23)n1,3180
827,CCOC(=O)C1=C(C)NC(=O)N(C(C)=O)C1c1ccco1,3111
1866,CCCn1c(=O)c2nc(C3=CC(C)(C)N([O])C3(C)C)[nH]c2n(CCC)c1=O,3100
2279,CCCN1C(=O)N2C[C@@H](C(C)C)N=C2c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc21,3100
509,CCNc1ncc(C(=O)OCC)c2nc(-c3ccco3)nn12,3060
2889,CCn1c(-c2ccccc2)nc2c(N)ncnc21,3020
2816,Cn1cc2c(nc(NCCCCCNC(=O)OC(C)(C)C)n3nc(-c4ccco4)nc23)n1,3000
1441,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccsc1,2968
1018,C#CCn1c(=O)c2c(nc(/C=C/c3cccc(OC)c3)n2C)n(CCCO)c1=O,2900
683,O=C(Nc1ccc(O)cc1)c1coc2ccccc2c1=O,2890
280,Cn1cc2c(nc(NCCc3c[nH]c4ccccc34)n3nc(-c4ccco4)nc23)n1,2870
3142,CC1=C(C(=O)OCC2CCC2)C(c2cccs2)NC(=O)N1,2842
558,CNC(=S)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,2810
1232,Nc1ncnc2c1nc(Br)n2CCO,2800
2034,Nc1ncnc2c1nc(Br)n2CCO,2800
2319,Nc1ncnc2c1nc(Br)n2CCO,2800
465,Cn1cc2c(nc(NCCc3ccccc3)n3nc(-c4ccco4)nc23)n1,2790
764,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](C)Cc5ccc(OC)cc5)nc43)[C@H](O)[C@@H]2O)n1,2780
1583,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(OC)cc5)no4)cc3)[nH]c2n(CCC)c1=O,2780
2467,Cc1ccc(COc2ccc(CC(=O)Nc3ncnc4c3nc(-c3ccco3)n4C)cc2)cc1,2780
1834,O[C@@H]1[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CC4CCC3C4)ncnc21,2740
1457,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(Cl)cc5)nc43)[C@H](O)[C@@H]2O)n1,2715
932,Cn1c(=O)c2[nH]cnc2n(C)c1=O,2700
1805,CC(C)CCc1c(-c2nccs2)c(=O)[nH]c2ccc(OCC(=O)NC(C)(C)c3ccccc3)cc12,2669
2297,Cn1cc2c(nc(NC3CCCC3)n3nc(-c4ccco4)nc23)n1,2650
2296,Cn1cc2c(nc(NCc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,2620
211,CC[C@H](C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,2600
340,CCOC(=O)C1=C(C)NC(=O)CC1c1ccco1,2536
1341,Cn1c(-c2cccc(Cl)c2)nc2c(NC3CCCC3)ncnc21,2530
246,O=C(Nc1nc2ccccc2n2nc(-c3ccco3)nc12)c1ccco1,2511.89
393,Cn1c(-c2ccco2)nc2c(NC(=O)Cc3ccccc3)ncnc21,2510
2945,CCOC(=O)c1cnc(NCc2ccccc2)n2nc(-c3ccco3)nc12,2510
2772,Nc1nc(-c2ccco2)c2cnn(Cc3cccc(OCCCCCCC(=O)NO)n3)c2n1,2495.5
1358,CNC(=O)c1cnc(NCc2ccc(OC)c(OC)c2)n2nc(-c3ccco3)nc12,2490
3001,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4ccc(OC)cc4)nc32)[C@H](O)[C@@H]1O,2481
662,OC[C@@H]1CCCN1c1nc(-c2nccs2)c2sccc2n1,2479
327,Cc1ccc(-c2cc(C(=O)NCc3cccn3C)nc(N)n2)o1,2466
2762,CCOC(=O)c1cnc(NC)n2nc(-c3ccco3)nc12,2450
1482,CCn1cnc2c(N)nc(NCCc3ccccc3)nc21,2410
2301,CCN(CC)c1nc2ccccc2n2nc(-c3ccco3)nc12,2398.83
1778,Cn1c(=O)n(CCCc2ccccc2)c(=O)c2[nH]cnc21,2330
2019,Cn1c(-n2nccn2)nc2c(N)nc(CCc3ccccc3)nc21,2330
995,Cn1c(=O)c2nc(-c3cnn(Cc4ccccc4)c3)[nH]c2n(C)c1=O,2300
2266,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc(Br)cc5)nc43)[C@H](O)[C@@H]2O)n1,2261
2851,CCOC(=O)c1cnc(NC2CC2)n2nc(-c3ccco3)nc12,2260
548,Cc1ccc(-c2cc3c(c(=O)n(C)c(=O)n3C)n2O)cc1,2239
2625,CCCN1C(=O)N2C[C@@H](C)N=C2c2[nH]c(C34CCC(O)(CC3)CC4)nc21,2200
2704,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](C)Cc5ccccc5)nc43)[C@H](O)[C@@H]2O)n1,2191
1905,CCOC(=O)COc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)c(OC)c1,2187.76
1135,CCNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,2160
1203,COC(=O)C1=C(C)NC(=O)NC1c1ccco1,2159
3173,COC(=O)C1=C(C)NC(=O)NC1c1ccco1,2159
2474,CC1=C(C(=O)OCC(C)C)C(c2cccs2)NC(=O)N1,2130
1564,Nc1nc(-c2ccco2)c2nnn(Cc3cccc(C(=O)O)c3)c2n1,2110
